Frequency,-1,1
1200000,37.385156198785275,37.385156198785275
1300000,39.58985968315643,39.58985968315643
1400000,42.05459679548872,42.05459679548872
1500000,44.68749773887076,44.68749773887076
1600000,47.39983947510403,47.39983947510403
1700000,50.21106485017152,50.21106485017152
1800000,53.15048855611813,53.15048855611813
1900000,55.62126931401588,55.62126931401588
2000000,57.72892130658787,57.72892130658787
2100000,60.401323952643025,60.401323952643025
2200000,63.962763204688,63.962763204688
2300000,67.60790852414894,67.60790852414894
2400000,71.77594155383805,71.77594155383805
2500000,75.66693416530319,75.66693416530319
2600000,79.18617144229555,79.18617144229555
